accident_index,accident_date,day_of_week,junction_control,junction_detail,accident_severity,light_conditions,local_authority,carriageway_hazards,number_of_casualties,number_of_vehicles,police_force,road_surface_conditions,road_type,speed_limit,time,urban_or_rural_area,weather_conditions,vehicle_type
BS0000462,14-09-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,10:00,Urban,Fine no high winds,Car
BS0000038,15-01-2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,11:30,Urban,Fine no high winds,Car
BS0000056,15-02-2021,Sunday,Give way or uncontrolled,T or staggered junction,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,0:35,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000149,15-04-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,15:45,Urban,Fine no high winds,Car
BS0000150,15-04-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:50,Urban,Fine no high winds,Car
BS0000195,15-05-2021,Friday,Give way or uncontrolled,Roundabout,Slight,Darkness - lights lit,Kensington and Chelsea,None,2,2,Metropolitan Police,Wet or damp,Roundabout,30,22:28,Urban,Other,Car
BS0000198,15-05-2021,Friday,Give way or uncontrolled,Roundabout,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Roundabout,30,8:00,Urban,Fine no high winds,Car
BS0000256,15-06-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,16:20,Urban,Fine no high winds,Car
BS0000260,15-06-2021,Monday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:00,Urban,Fine no high winds,Car
BS0000262,15-06-2021,Monday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,19:30,Urban,Raining no high winds,Bus or coach (17 or more pass seats)
BS0000292,15-06-2021,Monday,Auto traffic signal,T or staggered junction,Slight,Darkness - lights lit,Westminster,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,22:55,Urban,Raining no high winds,Car
BS0000330,15-07-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000331,15-07-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,16:35,Urban,Fine no high winds,Car
BS0000401,15-08-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,13:00,Urban,Fine no high winds,Car
BS0000444,15-09-2021,Tuesday,Auto traffic signal,Crossroads,Serious,Daylight,Kensington and Chelsea,None,2,1,Metropolitan Police,Wet or damp,Single carriageway,30,17:05,Urban,Raining no high winds,Motorcycle over 500cc
BS0000459,15-09-2021,Tuesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,19:05,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000500,15-10-2021,Thursday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,12:09,Urban,Fine no high winds,Car
BS0000012,16-01-2021,Friday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,17:49,Urban,Fine no high winds,Car
BS0000067,16-01-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,16:05,Urban,Fine no high winds,Car
BS0000051,16-02-2021,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,12:00,Urban,Fine no high winds,Car
BS0000052,16-02-2021,Monday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Dual carriageway,30,8:25,Urban,Fine no high winds,Car
BS0000157,16-04-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,8:12,Urban,Fine no high winds,Car
BS0000207,16-05-2021,Saturday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,2,1,Metropolitan Police,Dry,Dual carriageway,30,18:30,Urban,Fine no high winds,Car
BS0000255,16-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:45,Urban,Fine no high winds,Car
BS0000267,16-06-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,12:34,Urban,Fine no high winds,Car
BS0000329,16-07-2021,Thursday,Give way or uncontrolled,T or staggered junction,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,9:00,Urban,Fine no high winds,Car
BS0000340,16-07-2021,Thursday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,2,2,Metropolitan Police,Dry,Single carriageway,30,18:25,Urban,Fine no high winds,Car
BS0000385,16-08-2021,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:13,Urban,Fine no high winds,Motorcycle over 500cc
BS0000398,16-08-2021,Sunday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:30,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000447,16-09-2021,Wednesday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:00,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000455,16-09-2021,Wednesday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,17:25,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000015,17-01-2021,Saturday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,12:15,Urban,Fine no high winds,Car
BS0000037,17-01-2021,Saturday,Give way or uncontrolled,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,11:00,Urban,Fine no high winds,Van / Goods 3.5 tonnes mgw or under
BS0000075,17-02-2021,Tuesday,Give way or uncontrolled,T or staggered junction,Serious,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,19:11,Urban,Fine no high winds,Motorcycle 125cc and under
BS0000098,17-03-2021,Tuesday,Auto traffic signal,Crossroads,Slight,Darkness - lights lit,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,23:00,Urban,Fine no high winds,Car
BS0000152,17-04-2021,Friday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,9:30,Urban,Raining no high winds,Car
BS0000210,17-05-2021,Sunday,Give way or uncontrolled,Roundabout,Slight,Daylight,Hounslow,None,1,2,Metropolitan Police,Dry,Roundabout,30,17:35,Urban,Fine no high winds,Taxi/Private hire car
BS0000325,17-05-2021,Sunday,Give way or uncontrolled,Crossroads,Serious,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,14:15,Urban,Fine no high winds,Car
BS0000265,17-06-2021,Wednesday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,15:25,Urban,Fine no high winds,Goods 7.5 tonnes mgw and over
BS0000269,17-06-2021,Wednesday,Data missing or out of range,Not at junction or within 20 metres,Slight,Daylight,Kensington and Chelsea,None,1,3,Metropolitan Police,Dry,Single carriageway,30,18:03,Urban,Fine no high winds,Car
BS0000271,17-06-2021,Wednesday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,11:40,Urban,Fine no high winds,Car
BS0000392,17-08-2021,Monday,Give way or uncontrolled,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,Single carriageway,30,18:10,Urban,Fine no high winds,Goods over 3.5t. and under 7.5t
BS0000405,17-08-2021,Monday,Auto traffic signal,Crossroads,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,7:55,Urban,Fine no high winds,Car
BS0000434,17-09-2021,Thursday,Auto traffic signal,T or staggered junction,Slight,Daylight,Kensington and Chelsea,None,1,1,Metropolitan Police,Dry,Single carriageway,30,13:20,Urban,Fine no high winds,Car
BS0000439,17-09-2021,Thursday,Auto traffic signal,More than 4 arms (not roundabout),Slight,Daylight,Kensington and Chelsea,None,1,2,Metropolitan Police,Dry,One way street,30,6:40,Urban,Fine no high winds,Car
